age,monthlyincome,totalworkingyears,percentsalaryhike,distancefromhome,yearsatcompany,numcompaniesworked,yearswithcurrmanager,yearssincelastpromotion,trainingtimeslastyear,environmentsatisfaction_1.0,maritalstatus_Single,jobsatisfaction_1.0,businesstravel_Travel_Frequently,worklifebalance_3.0,educationfield_Life Sciences,environmentsatisfaction_4.0,jobsatisfaction_4.0,worklifebalance_1.0,environmentsatisfaction_3.0,jobsatisfaction_2.0,resignationreason_no aplica,department_Human Resources,retirementtype_no aplica,retirementtype_Resignation,businesstravel_Non-Travel,educationfield_Human Resources
29,39780,7.0,11,3,7,1.0,7,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0
35,25440,17.0,13,16,16,0.0,13,0,3,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
23,53990,4.0,23,20,4,1.0,2,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
41,54870,8.0,19,9,5,6.0,2,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0
47,68340,5.0,16,1,0,3.0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
42,10910,16.0,22,3,1,2.0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0
29,57360,4.0,22,22,4,1.0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
42,22260,4.0,12,7,3,0.0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
32,57470,8.0,13,2,8,1.0,7,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
48,98540,15.0,16,13,0,3.0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
37,54670,13.0,12,8,7,4.0,7,6,2,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
30,53800,4.0,21,25,2,7.0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
26,51510,8.0,15,28,8,1.0,7,7,3,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
42,21330,14.0,13,2,1,3.0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
21,178750,3.0,12,9,3,1.0,2,1,5,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
36,24320,7.0,22,28,1,4.0,0,0,4,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1
36,47710,16.0,13,6,13,4.0,12,1,2,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0
57,191610,15.0,18,21,3,2.0,2,1,2,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
40,50870,10.0,14,8,7,3.0,7,1,3,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
21,28630,3.0,14,1,3,1.0,2,2,2,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
33,55610,1.0,21,28,1,1.0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1
37,21440,17.0,19,5,5,6.0,3,0,3,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0
46,30650,7.0,11,2,1,2.0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
41,28100,8.0,11,16,8,1.0,7,7,3,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
50,98880,20.0,15,9,4,6.0,3,1,2,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
40,86280,8.0,20,8,6,2.0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
31,28670,3.0,24,1,2,0.0,2,2,5,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0
21,53730,1.0,12,10,1,1.0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1
29,66670,6.0,12,1,3,9.0,2,1,6,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0
35,50030,10.0,15,29,1,9.0,0,0,2,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0
27,23670,5.0,12,2,5,1.0,4,0,2,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0
28,28580,7.0,12,2,7,1.0,7,0,2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
49,52040,26.0,14,2,5,8.0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
51,41050,18.0,22,1,7,4.0,7,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
36,96790,6.0,12,15,2,4.0,2,2,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
34,56170,9.0,25,7,5,8.0,4,0,3,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
55,104480,30.0,13,26,5,2.0,2,1,3,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
24,28970,5.0,18,1,5,1.0,3,0,4,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
30,59680,1.0,13,3,1,1.0,0,0,3,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0
26,75100,7.0,18,14,6,0.0,4,0,3,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0
22,29910,2.0,19,16,2,1.0,2,1,3,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
36,196360,10.0,12,1,10,1.0,0,9,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
30,11290,3.0,19,3,1,9.0,0,0,2,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0
37,133410,18.0,14,10,18,1.0,17,12,3,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
40,43320,8.0,14,6,5,7.0,3,1,3,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
42,110310,8.0,12,2,5,3.0,2,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
37,44400,18.0,11,9,1,2.0,1,0,3,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
43,46170,25.0,11,10,25,1.0,9,3,2,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0
40,26470,20.0,13,6,1,6.0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
54,63230,24.0,23,9,4,4.0,2,1,2,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0
34,56770,6.0,20,28,3,9.0,2,1,3,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
31,21870,13.0,15,10,13,1.0,12,3,2,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
43,37480,10.0,14,14,3,7.0,2,1,3,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0
43,39770,8.0,18,27,5,4.0,2,0,3,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0
25,86330,5.0,19,7,5,1.0,3,1,2,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1
37,20080,15.0,22,1,13,3.0,7,10,5,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
31,44400,4.0,13,24,4,1.0,2,3,2,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
39,30670,21.0,20,26,21,1.0,6,1,5,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
56,53210,36.0,14,20,7,9.0,7,7,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0
30,54100,6.0,17,5,5,0.0,4,4,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
41,27820,10.0,14,7,10,1.0,7,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
28,119570,10.0,13,7,10,1.0,8,1,2,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0
25,26600,6.0,13,5,2,5.0,2,0,3,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
52,33750,28.0,21,26,5,2.0,4,0,2,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
45,50980,8.0,14,2,2,3.0,2,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
52,48780,31.0,11,12,5,2.0,4,1,3,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0
42,28370,19.0,13,10,5,2.0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
30,24060,11.0,20,25,5,2.0,2,0,5,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
60,22690,33.0,18,10,29,5.0,10,11,4,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
46,41080,19.0,14,19,10,2.0,8,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
42,132060,7.0,13,18,6,0.0,4,0,2,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0
24,104220,6.0,17,27,5,1.0,4,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
34,137440,3.0,20,5,2,0.0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
38,49070,1.0,11,3,1,1.0,0,0,3,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0
40,34820,21.0,18,26,20,0.0,12,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
26,24360,3.0,24,3,3,1.0,2,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
30,23800,9.0,18,15,5,4.0,4,1,2,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0
29,194310,10.0,11,8,10,1.0,7,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
29,17900,6.0,16,19,2,5.0,1,1,4,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0
19,76440,1.0,15,4,1,1.0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
30,51310,10.0,15,2,9,0.0,8,7,2,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0
57,63060,32.0,12,2,1,3.0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
50,47870,28.0,12,10,27,0.0,7,15,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
30,188800,12.0,22,10,11,0.0,7,6,3,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
60,23390,22.0,20,16,18,4.0,11,13,4,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0
47,135700,20.0,16,1,5,5.0,4,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
46,67120,26.0,21,4,3,6.0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
35,54060,6.0,12,15,5,0.0,3,4,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
54,89380,19.0,11,2,1,7.0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
34,24390,14.0,11,8,7,3.0,7,5,2,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
46,88370,15.0,18,2,3,2.0,2,1,3,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0
31,53430,13.0,14,7,13,1.0,8,0,3,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0
33,67280,15.0,22,10,7,7.0,7,7,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
33,66520,8.0,25,5,4,7.0,3,1,5,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
30,48500,4.0,12,2,3,0.0,2,1,4,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0
35,28090,10.0,23,12,8,4.0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
31,56890,12.0,15,22,1,3.0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
34,20010,11.0,22,17,3,9.0,2,0,5,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
42,29770,8.0,15,2,2,4.0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
36,40250,10.0,11,3,10,1.0,7,9,3,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
22,37850,4.0,13,7,2,5.0,2,1,2,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
48,108540,14.0,14,6,9,2.0,7,6,6,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
55,120310,37.0,11,1,10,3.0,7,7,5,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
41,99360,16.0,17,3,14,7.0,10,1,2,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0
35,29660,15.0,18,22,11,9.0,9,6,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
40,25710,22.0,14,15,20,7.0,13,5,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
39,99910,8.0,16,12,8,1.0,7,0,3,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
31,61420,10.0,13,1,6,4.0,5,0,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
42,53900,10.0,14,5,10,1.0,8,5,3,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
45,44040,9.0,23,2,8,0.0,7,3,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
26,59930,8.0,12,2,7,0.0,0,1,3,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
29,51300,8.0,11,5,3,4.0,2,1,3,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
33,20900,10.0,16,16,6,4.0,5,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
31,29090,10.0,14,2,5,9.0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
18,34680,0.0,18,2,0,1.0,0,0,4,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
40,30680,20.0,19,1,1,3.0,1,0,3,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0
41,26700,10.0,15,23,8,2.0,7,0,2,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
26,26930,8.0,17,9,0,5.0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
35,95260,5.0,15,16,5,1.0,3,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
34,52370,10.0,19,26,10,1.0,7,5,3,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
26,24260,1.0,22,1,1,1.0,0,0,3,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0
37,41930,12.0,16,8,6,4.0,2,1,5,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
46,29110,28.0,13,4,2,5.0,2,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
41,26610,22.0,14,24,18,7.0,8,11,2,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
37,20280,9.0,16,7,9,1.0,7,7,3,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
52,99800,18.0,11,2,10,1.0,9,6,2,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
32,32980,6.0,22,7,4,8.0,2,1,4,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0
24,29350,3.0,14,22,2,0.0,1,2,5,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0
38,154270,18.0,16,5,1,3.0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0
37,39440,8.0,11,1,6,6.0,3,4,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
49,40110,31.0,18,21,31,1.0,9,0,2,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
24,34070,6.0,15,1,6,1.0,4,1,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
26,119940,6.0,14,19,5,1.0,4,1,6,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
24,12320,1.0,12,7,1,1.0,0,0,4,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0
50,29600,32.0,14,2,32,1.0,7,10,2,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
25,190940,7.0,16,2,7,1.0,6,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
24,39190,6.0,21,2,6,1.0,2,1,3,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
30,68250,1.0,14,9,1,1.0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
34,102480,6.0,12,6,6,1.0,3,1,4,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0
31,189470,9.0,12,9,3,2.0,2,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
35,24960,9.0,17,2,3,4.0,2,0,3,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0
31,64650,13.0,17,1,7,4.0,7,5,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
