,level_0,index,unnamed: 0,employeeid,environmentsatisfaction,jobsatisfaction,worklifebalance,datesurvey,age,businesstravel,department,distancefromhome,education,educationfield,employeecount,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,over18,percentsalaryhike,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,infodate,jobinvolvement,performancerating,surveydate,unnamed: 0.1,attrition,retirementdate,retirementtype,resignationreason
10,10,4420,10,11,3.0,4.0,3.0,2016-12-31,45,Travel_Rarely,Research & Development,17,2,Medical,1,Male,2,Laboratory Technician,Married,79910,0.0,Y,13,8,2,21.0,2,20,4,10,2016-12-31,2,3,2016-12-31,,,,,
11,11,4421,11,12,3.0,4.0,3.0,2016-12-31,36,Travel_Rarely,Research & Development,28,1,Life Sciences,1,Male,1,Laboratory Technician,Married,33770,0.0,Y,12,8,2,16.0,2,15,10,11,2016-12-31,3,3,2016-12-31,,,,,
12,12,4422,12,13,4.0,1.0,3.0,2016-12-31,55,Travel_Rarely,Research & Development,14,4,Life Sciences,1,Female,1,Sales Executive,Single,55380,0.0,Y,17,8,0,37.0,2,36,4,13,2016-12-31,3,3,2016-12-31,,,,,
13,13,4423,13,14,1.0,2.0,2.0,2016-12-31,47,Non-Travel,Research & Development,1,1,Medical,1,Male,1,Research Scientist,Married,57620,1.0,Y,11,8,2,10.0,4,10,9,9,2016-12-31,2,3,2016-12-31,2.0,Yes,2016-11-08,Resignation,Others
14,14,4424,14,15,4.0,4.0,2.0,2016-12-31,28,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,1,Manufacturing Director,Married,25920,1.0,Y,14,8,0,5.0,2,5,0,4,2016-12-31,3,3,2016-12-31,,,,,
15,15,4425,15,16,3.0,4.0,4.0,2016-12-31,37,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,2,Healthcare Representative,Married,53460,4.0,Y,11,8,0,7.0,2,5,0,1,2016-12-31,3,3,2016-12-31,,,,,
16,16,4426,16,17,4.0,3.0,4.0,2016-12-31,21,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Male,1,Laboratory Technician,Single,42130,1.0,Y,12,8,3,3.0,3,3,1,0,2016-12-31,2,3,2016-12-31,,,,,
17,17,4427,17,18,1.0,4.0,3.0,2016-12-31,37,Non-Travel,Research & Development,1,3,Medical,1,Male,2,Sales Executive,Divorced,41270,2.0,Y,13,8,1,15.0,2,5,0,2,2016-12-31,3,3,2016-12-31,,,,,
18,18,4428,18,19,2.0,2.0,2.0,2016-12-31,35,Travel_Rarely,Sales,7,4,Life Sciences,1,Male,1,Sales Representative,Divorced,24380,7.0,Y,16,8,0,10.0,5,7,6,2,2016-12-31,2,3,2016-12-31,,,,,
19,19,4429,19,20,1.0,1.0,3.0,2016-12-31,38,Travel_Rarely,Research & Development,8,3,Life Sciences,1,Female,1,Manager,Divorced,68700,1.0,Y,11,8,1,8.0,5,8,7,7,2016-12-31,3,3,2016-12-31,,,,,
20,20,4430,20,21,3.0,2.0,1.0,2016-12-31,26,Travel_Frequently,Research & Development,1,4,Other,1,Male,2,Laboratory Technician,Divorced,104470,1.0,Y,18,8,0,6.0,3,6,1,4,2016-12-31,3,3,2016-12-31,,,,,
21,21,4431,21,22,1.0,2.0,2.0,2016-12-31,50,Travel_Rarely,Sales,8,4,Life Sciences,1,Male,1,Research Scientist,Divorced,96670,3.0,Y,23,8,0,28.0,2,10,1,6,2016-12-31,2,4,2016-12-31,,,,,
22,22,4432,22,23,3.0,3.0,2.0,2016-12-31,53,Travel_Rarely,Research & Development,11,4,Life Sciences,1,Female,2,Research Scientist,Married,21480,3.0,Y,11,8,0,21.0,2,5,1,3,2016-12-31,3,3,2016-12-31,,,,,
23,23,4433,23,24,2.0,3.0,3.0,2016-12-31,42,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Male,1,Manufacturing Director,Married,89260,1.0,Y,14,8,0,10.0,4,20,11,6,2016-12-31,1,3,2016-12-31,,,,,
24,24,4434,24,25,2.0,4.0,2.0,2016-12-31,29,Travel_Frequently,Research & Development,16,4,Medical,1,Male,1,Laboratory Technician,Single,65130,1.0,Y,11,8,1,10.0,2,10,0,9,2016-12-31,3,3,2016-12-31,,,,,
25,25,4435,25,26,2.0,4.0,3.0,2016-12-31,55,Travel_Rarely,Research & Development,1,4,Other,1,Female,1,Research Scientist,Married,67990,3.0,Y,11,8,0,12.0,2,10,0,8,2016-12-31,3,3,2016-12-31,,,,,
26,26,4436,26,27,1.0,1.0,3.0,2016-12-31,26,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Female,1,Manager,Married,162910,1.0,Y,22,8,0,5.0,3,5,3,3,2016-12-31,3,4,2016-12-31,,,,,
27,27,4437,27,28,4.0,4.0,3.0,2016-12-31,37,Travel_Rarely,Sales,5,1,Marketing,1,Male,1,Research Scientist,Single,27050,1.0,Y,11,8,0,17.0,2,17,5,7,2016-12-31,3,3,2016-12-31,,,,,
28,28,4438,28,29,4.0,3.0,1.0,2016-12-31,44,Travel_Frequently,Research & Development,1,2,Medical,1,Male,2,Research Scientist,Divorced,103330,3.0,Y,14,8,1,19.0,2,1,0,0,2016-12-31,2,3,2016-12-31,3.0,Yes,2016-10-15,Resignation,Others
29,29,4439,29,30,4.0,4.0,3.0,2016-12-31,38,Travel_Rarely,Sales,2,3,Marketing,1,Female,1,Manager,Divorced,44480,9.0,Y,12,8,0,10.0,3,2,1,2,2016-12-31,2,3,2016-12-31,,,,,
30,30,4440,30,31,1.0,2.0,3.0,2016-12-31,26,Travel_Rarely,Research & Development,4,3,Medical,1,Male,3,Research Scientist,Divorced,68540,2.0,Y,11,8,0,5.0,5,3,0,2,2016-12-31,2,3,2016-12-31,4.0,Yes,2016-02-08,Resignation,Salary
31,31,4441,31,32,4.0,4.0,3.0,2016-12-31,28,Travel_Rarely,Research & Development,7,3,Other,1,Male,1,Human Resources,Single,96370,1.0,Y,13,8,0,5.0,6,5,0,2,2016-12-31,2,3,2016-12-31,,,,,
32,32,4442,32,33,3.0,1.0,3.0,2016-12-31,49,Travel_Frequently,Research & Development,1,1,Medical,1,Female,2,Research Scientist,Single,35910,9.0,Y,13,8,0,22.0,2,3,1,2,2016-12-31,3,3,2016-12-31,,,,,
33,33,4443,33,34,3.0,2.0,3.0,2016-12-31,36,Travel_Rarely,Sales,5,3,Technical Degree,1,Male,3,Sales Executive,Single,54050,4.0,Y,14,8,0,10.0,2,8,7,7,2016-12-31,3,3,2016-12-31,,,,,
34,34,4444,34,35,4.0,2.0,2.0,2016-12-31,31,Travel_Frequently,Research & Development,9,4,Medical,1,Male,1,Sales Executive,Divorced,46840,1.0,Y,16,8,1,2.0,4,2,2,2,2016-12-31,3,3,2016-12-31,,,,,
35,35,4445,35,36,4.0,4.0,3.0,2016-12-31,26,Travel_Rarely,Research & Development,8,3,Medical,1,Male,2,Manager,Single,157870,1.0,Y,12,8,2,8.0,5,8,7,4,2016-12-31,3,3,2016-12-31,5.0,Yes,2016-06-18,Resignation,Others
36,36,4446,36,37,2.0,4.0,2.0,2016-12-31,37,Travel_Frequently,Sales,9,1,Marketing,1,Male,1,Laboratory Technician,Married,15140,1.0,Y,14,8,0,4.0,3,4,1,2,2016-12-31,3,3,2016-12-31,,,,,
37,37,4447,37,38,3.0,2.0,4.0,2016-12-31,42,Travel_Frequently,Sales,2,2,Marketing,1,Male,3,Research Director,Married,29560,5.0,Y,13,8,0,23.0,2,20,4,8,2016-12-31,3,3,2016-12-31,,,,,
38,38,4448,38,39,3.0,3.0,3.0,2016-12-31,18,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,1,Sales Executive,Single,23350,1.0,Y,14,8,2,0.0,3,0,0,0,2016-12-31,2,3,2016-12-31,6.0,Yes,2016-04-29,Resignation,Stress
39,39,4449,39,40,3.0,2.0,2.0,2016-12-31,35,Travel_Rarely,Sales,20,2,Life Sciences,1,Male,1,Laboratory Technician,Married,51540,0.0,Y,19,8,0,12.0,2,11,6,9,2016-12-31,2,3,2016-12-31,,,,,
40,40,4450,40,41,3.0,4.0,3.0,2016-12-31,36,Travel_Frequently,Research & Development,8,3,Other,1,Female,3,Sales Executive,Married,69620,4.0,Y,12,8,2,4.0,2,1,0,0,2016-12-31,2,3,2016-12-31,,,,,
41,41,4451,41,42,4.0,2.0,3.0,2016-12-31,51,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,2,Laboratory Technician,Divorced,56750,5.0,Y,13,8,0,13.0,2,4,1,2,2016-12-31,2,3,2016-12-31,,,,,
42,42,4452,42,43,4.0,2.0,3.0,2016-12-31,41,Travel_Rarely,Research & Development,29,1,Life Sciences,1,Male,1,Laboratory Technician,Single,23790,1.0,Y,12,8,0,22.0,6,22,0,4,2016-12-31,3,3,2016-12-31,,,,,
43,43,4453,43,44,4.0,3.0,3.0,2016-12-31,18,Travel_Rarely,Sales,7,3,Life Sciences,1,Male,1,Research Scientist,Single,38120,1.0,Y,15,8,0,0.0,3,0,0,0,2016-12-31,3,3,2016-12-31,,,,,
44,44,4454,44,45,2.0,1.0,3.0,2016-12-31,28,Travel_Rarely,Research & Development,9,3,Medical,1,Male,1,Sales Representative,Single,46480,0.0,Y,23,8,2,9.0,2,8,0,7,2016-12-31,2,4,2016-12-31,,,,,
45,45,4455,45,46,2.0,4.0,2.0,2016-12-31,31,Travel_Rarely,Research & Development,8,1,Technical Degree,1,Male,1,Manufacturing Director,Married,29360,4.0,Y,12,8,1,10.0,2,8,7,7,2016-12-31,3,3,2016-12-31,,,,,
46,46,4456,46,47,3.0,4.0,2.0,2016-12-31,39,Travel_Rarely,Sales,5,4,Marketing,1,Female,2,Human Resources,Divorced,21050,0.0,Y,20,8,0,19.0,3,18,3,7,2016-12-31,3,4,2016-12-31,,,,,
47,47,4457,47,48,2.0,2.0,3.0,2016-12-31,36,Non-Travel,Research & Development,5,4,Life Sciences,1,Male,1,Sales Executive,Married,85780,7.0,Y,21,8,0,11.0,4,9,0,8,2016-12-31,3,4,2016-12-31,,,,,
48,48,4458,48,49,4.0,3.0,2.0,2016-12-31,32,Travel_Rarely,Sales,2,3,Marketing,1,Male,2,Laboratory Technician,Married,27060,1.0,Y,21,8,1,13.0,4,13,4,8,2016-12-31,3,4,2016-12-31,,,,,
49,49,4459,49,50,1.0,2.0,3.0,2016-12-31,38,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Female,3,Research Scientist,Married,63840,3.0,Y,19,8,2,19.0,4,10,0,1,2016-12-31,2,3,2016-12-31,,,,,
50,50,4460,50,51,4.0,3.0,3.0,2016-12-31,58,Non-Travel,Research & Development,2,3,Life Sciences,1,Male,2,Manufacturing Director,Divorced,39680,2.0,Y,13,8,2,12.0,3,5,1,2,2016-12-31,2,3,2016-12-31,,,,,
51,51,4461,51,52,3.0,4.0,3.0,2016-12-31,31,Travel_Rarely,Research & Development,20,1,Technical Degree,1,Female,3,Research Scientist,Married,99070,0.0,Y,13,8,1,6.0,3,5,0,3,2016-12-31,2,3,2016-12-31,,,,,
52,52,4462,52,53,1.0,1.0,3.0,2016-12-31,31,Travel_Rarely,Sales,7,4,Marketing,1,Male,2,Sales Executive,Married,132250,3.0,Y,21,8,1,9.0,2,2,1,0,2016-12-31,3,4,2016-12-31,,,,,
53,53,4463,53,54,1.0,1.0,3.0,2016-12-31,45,Travel_Frequently,Research & Development,3,1,Medical,1,Female,1,Sales Executive,Divorced,35400,1.0,Y,13,8,0,24.0,6,24,9,11,2016-12-31,3,3,2016-12-31,,,,,
54,54,4464,54,55,3.0,4.0,1.0,2016-12-31,31,Travel_Rarely,Sales,16,4,Marketing,1,Female,2,Research Scientist,Divorced,28040,0.0,Y,19,8,2,3.0,0,2,2,2,2016-12-31,3,3,2016-12-31,,,,,
55,55,4465,55,56,4.0,2.0,3.0,2016-12-31,33,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Male,4,Research Director,Married,193920,6.0,Y,12,8,1,12.0,3,10,8,8,2016-12-31,3,3,2016-12-31,,,,,
56,56,4466,56,57,3.0,1.0,3.0,2016-12-31,39,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,1,Sales Executive,Married,196650,1.0,Y,22,8,1,21.0,6,21,11,10,2016-12-31,3,4,2016-12-31,,,,,
57,57,4467,57,58,3.0,4.0,3.0,2016-12-31,43,Travel_Frequently,Research & Development,7,4,Medical,1,Male,4,Research Scientist,Single,24390,0.0,Y,15,8,0,9.0,2,8,1,7,2016-12-31,3,3,2016-12-31,,,,,
58,58,4468,58,59,3.0,3.0,3.0,2016-12-31,49,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Manufacturing Director,Single,73140,7.0,Y,22,8,0,25.0,2,7,0,7,2016-12-31,3,4,2016-12-31,,,,,
59,59,4469,59,60,3.0,2.0,2.0,2016-12-31,52,Travel_Rarely,Research & Development,7,1,Life Sciences,1,Female,2,Research Scientist,Married,47740,2.0,Y,18,8,1,11.0,2,8,7,7,2016-12-31,3,3,2016-12-31,7.0,Yes,2016-12-15,Resignation,Others
60,60,4470,60,61,3.0,2.0,2.0,2016-12-31,27,Travel_Rarely,Research & Development,15,4,Medical,1,Male,3,Research Scientist,Single,39020,1.0,Y,22,8,0,4.0,2,4,1,2,2016-12-31,3,4,2016-12-31,,,,,
61,61,4471,61,62,3.0,2.0,3.0,2016-12-31,32,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Research Scientist,Married,26620,1.0,Y,11,8,1,13.0,6,13,11,9,2016-12-31,4,3,2016-12-31,,,,,
62,62,4472,62,63,4.0,3.0,3.0,2016-12-31,27,Travel_Rarely,Research & Development,13,2,Medical,1,Female,4,Research Director,Single,28560,1.0,Y,12,8,2,5.0,5,5,0,4,2016-12-31,4,3,2016-12-31,,,,,
63,63,4473,63,64,4.0,4.0,3.0,2016-12-31,31,Travel_Rarely,Sales,24,3,Life Sciences,1,Male,2,Healthcare Representative,Divorced,10810,4.0,Y,11,8,3,13.0,4,7,1,7,2016-12-31,4,3,2016-12-31,,,,,
64,64,4474,64,65,1.0,4.0,2.0,2016-12-31,32,Travel_Rarely,Research & Development,7,3,Technical Degree,1,Male,2,Healthcare Representative,Single,24720,7.0,Y,13,8,0,10.0,2,7,0,7,2016-12-31,3,3,2016-12-31,,,,,
65,65,4475,65,66,1.0,4.0,2.0,2016-12-31,28,Travel_Rarely,Research & Development,9,4,Medical,1,Male,1,Sales Executive,Married,56730,5.0,Y,14,8,1,5.0,4,3,2,2,2016-12-31,2,3,2016-12-31,8.0,Yes,2016-01-18,Resignation,Salary
66,66,4476,66,67,4.0,4.0,3.0,2016-12-31,30,Travel_Rarely,Research & Development,13,3,Life Sciences,1,Female,4,Research Director,Married,41970,1.0,Y,13,8,0,11.0,3,10,1,9,2016-12-31,3,3,2016-12-31,,,,,
67,67,4477,67,68,3.0,3.0,3.0,2016-12-31,31,Travel_Frequently,Research & Development,2,1,Life Sciences,1,Female,1,Manager,Married,97130,1.0,Y,17,8,0,10.0,5,10,8,9,2016-12-31,2,3,2016-12-31,,,,,
68,68,4478,68,69,3.0,4.0,3.0,2016-12-31,39,Travel_Frequently,Research & Development,19,4,Medical,1,Female,1,Research Scientist,Married,20620,1.0,Y,13,8,0,21.0,4,21,13,3,2016-12-31,3,3,2016-12-31,,,,,
69,69,4479,69,70,4.0,3.0,2.0,2016-12-31,39,Travel_Rarely,Research & Development,1,1,Medical,1,Female,1,Laboratory Technician,Married,42840,4.0,Y,17,8,1,12.0,0,1,0,0,2016-12-31,3,3,2016-12-31,9.0,Yes,2016-08-23,Fired,Others
70,70,4480,70,71,2.0,4.0,2.0,2016-12-31,33,Travel_Frequently,Sales,4,2,Life Sciences,1,Male,4,Research Scientist,Single,47880,3.0,Y,11,8,1,9.0,0,7,0,1,2016-12-31,3,3,2016-12-31,,,,,
71,71,4481,71,72,4.0,3.0,3.0,2016-12-31,47,Travel_Rarely,Research & Development,4,3,Life Sciences,1,Female,2,Healthcare Representative,Married,59060,4.0,Y,23,8,0,21.0,4,3,1,1,2016-12-31,4,4,2016-12-31,,,,,
72,72,4482,72,73,3.0,3.0,4.0,2016-12-31,43,Travel_Frequently,Research & Development,14,3,Medical,1,Female,5,Research Director,Divorced,38860,1.0,Y,17,8,2,9.0,2,9,0,0,2016-12-31,3,3,2016-12-31,,,,,
73,73,4483,73,74,3.0,2.0,3.0,2016-12-31,27,Non-Travel,Research & Development,2,3,Life Sciences,1,Male,1,Research Director,Married,168230,0.0,Y,17,8,0,6.0,3,5,1,4,2016-12-31,3,3,2016-12-31,,,,,
74,74,4484,74,75,4.0,3.0,2.0,2016-12-31,54,Travel_Frequently,Research & Development,1,4,Life Sciences,1,Male,2,Research Scientist,Single,29330,3.0,Y,12,8,2,20.0,2,4,0,3,2016-12-31,3,3,2016-12-31,,,,,
75,75,4485,75,76,3.0,1.0,2.0,2016-12-31,43,Travel_Rarely,Research & Development,7,2,Life Sciences,1,Female,2,Manager,Married,65000,8.0,Y,23,8,0,10.0,3,1,0,0,2016-12-31,3,4,2016-12-31,,,,,
76,76,4486,76,77,4.0,4.0,3.0,2016-12-31,45,Travel_Rarely,Sales,3,1,Marketing,1,Female,1,Sales Executive,Married,171740,9.0,Y,14,8,1,12.0,6,10,9,8,2016-12-31,3,3,2016-12-31,,,,,
77,77,4487,77,78,2.0,4.0,2.0,2016-12-31,40,Travel_Rarely,Research & Development,2,4,Other,1,Male,4,Research Scientist,Married,50330,2.0,Y,14,8,2,6.0,6,4,0,2,2016-12-31,3,3,2016-12-31,,,,,
78,78,4488,78,79,2.0,1.0,2.0,2016-12-31,29,Travel_Rarely,Research & Development,29,3,Medical,1,Female,1,Research Scientist,Married,23070,1.0,Y,13,8,1,7.0,0,7,0,7,2016-12-31,3,3,2016-12-31,10.0,Yes,2016-02-17,Resignation,Salary
79,79,4489,79,80,2.0,4.0,3.0,2016-12-31,29,Travel_Rarely,Human Resources,8,3,Medical,1,Male,3,Sales Representative,Single,25870,0.0,Y,22,8,2,4.0,3,3,2,2,2016-12-31,3,4,2016-12-31,,,,,
80,80,4490,80,81,4.0,3.0,3.0,2016-12-31,30,Travel_Rarely,Research & Development,10,3,Life Sciences,1,Male,2,Research Scientist,Divorced,55070,1.0,Y,12,8,2,10.0,2,10,1,2,2016-12-31,2,3,2016-12-31,,,,,
81,81,4491,81,82,2.0,2.0,3.0,2016-12-31,27,Travel_Rarely,Research & Development,11,2,Medical,1,Male,1,Manager,Married,43930,1.0,Y,18,8,1,8.0,2,8,0,7,2016-12-31,2,3,2016-12-31,,,,,
82,82,4492,82,83,4.0,4.0,2.0,2016-12-31,37,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,2,Healthcare Representative,Divorced,133480,7.0,Y,14,8,0,8.0,4,6,0,4,2016-12-31,3,3,2016-12-31,,,,,
83,83,4493,83,84,3.0,4.0,3.0,2016-12-31,38,Travel_Rarely,Research & Development,28,4,Medical,1,Male,1,Laboratory Technician,Divorced,65830,0.0,Y,12,8,0,12.0,1,11,2,9,2016-12-31,3,3,2016-12-31,,,,,
84,84,4494,84,85,3.0,4.0,3.0,2016-12-31,31,Travel_Rarely,Research & Development,6,3,Medical,1,Female,3,Manager,Single,81030,1.0,Y,15,8,1,11.0,5,11,4,10,2016-12-31,3,3,2016-12-31,,,,,
85,85,4495,85,86,4.0,2.0,3.0,2016-12-31,29,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Male,3,Sales Executive,Divorced,39780,1.0,Y,11,8,0,7.0,0,7,1,7,2016-12-31,3,3,2016-12-31,,,,,
86,86,4496,86,87,3.0,2.0,3.0,2016-12-31,35,Travel_Rarely,Sales,16,2,Technical Degree,1,Male,3,Manager,Single,25440,0.0,Y,13,8,1,17.0,3,16,0,13,2016-12-31,4,3,2016-12-31,,,,,
87,87,4497,87,88,3.0,4.0,2.0,2016-12-31,23,Travel_Rarely,Research & Development,20,4,Life Sciences,1,Male,1,Manufacturing Director,Divorced,53990,1.0,Y,23,8,0,4.0,2,4,0,2,2016-12-31,2,4,2016-12-31,,,,,
88,88,4498,88,89,4.0,2.0,3.0,2016-12-31,41,Travel_Rarely,Research & Development,9,2,Life Sciences,1,Female,1,Laboratory Technician,Single,54870,6.0,Y,19,8,2,8.0,0,5,1,2,2016-12-31,3,3,2016-12-31,,,,,
89,89,4499,89,90,2.0,3.0,3.0,2016-12-31,47,Travel_Frequently,Sales,1,3,Medical,1,Female,2,Laboratory Technician,Single,68340,3.0,Y,16,8,1,5.0,2,0,0,0,2016-12-31,4,3,2016-12-31,,,,,
90,90,4500,90,91,1.0,4.0,3.0,2016-12-31,42,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Male,1,Manager,Single,10910,2.0,Y,22,8,0,16.0,0,1,0,0,2016-12-31,1,4,2016-12-31,,,,,
91,91,4501,91,92,4.0,3.0,2.0,2016-12-31,29,Non-Travel,Sales,22,4,Marketing,1,Male,2,Human Resources,Married,57360,1.0,Y,22,8,0,4.0,1,4,0,2,2016-12-31,2,4,2016-12-31,,,,,
92,92,4502,92,93,3.0,3.0,3.0,2016-12-31,42,Travel_Rarely,Sales,7,4,Medical,1,Male,3,Research Scientist,Divorced,22260,0.0,Y,12,8,1,4.0,3,3,1,0,2016-12-31,2,3,2016-12-31,,,,,
93,93,4503,93,94,3.0,2.0,3.0,2016-12-31,32,Travel_Rarely,Research & Development,2,3,Medical,1,Male,2,Research Scientist,Married,57470,1.0,Y,13,8,0,8.0,0,8,0,7,2016-12-31,3,3,2016-12-31,,,,,
94,94,4504,94,95,1.0,3.0,1.0,2016-12-31,48,Travel_Rarely,Sales,13,4,Medical,1,Male,4,Sales Executive,Married,98540,3.0,Y,16,8,1,15.0,2,0,0,0,2016-12-31,2,3,2016-12-31,,,,,
95,95,4505,95,96,3.0,1.0,3.0,2016-12-31,37,Travel_Rarely,Research & Development,8,5,Technical Degree,1,Male,2,Manufacturing Director,Divorced,54670,4.0,Y,12,8,0,13.0,2,7,6,7,2016-12-31,3,3,2016-12-31,,,,,
96,96,4506,96,97,4.0,3.0,4.0,2016-12-31,30,Non-Travel,Sales,25,4,Other,1,Male,1,Healthcare Representative,Married,53800,7.0,Y,21,8,1,4.0,0,2,2,2,2016-12-31,3,4,2016-12-31,,,,,
97,97,4507,97,98,3.0,3.0,3.0,2016-12-31,26,Travel_Rarely,Sales,28,3,Medical,1,Female,5,Laboratory Technician,Married,51510,1.0,Y,15,8,3,8.0,3,8,7,7,2016-12-31,3,3,2016-12-31,,,,,
98,98,4508,98,99,1.0,4.0,3.0,2016-12-31,42,Travel_Rarely,Sales,2,2,Medical,1,Female,1,Laboratory Technician,Single,21330,3.0,Y,13,8,2,14.0,2,1,0,0,2016-12-31,3,3,2016-12-31,,,,,
99,99,4509,99,100,1.0,2.0,3.0,2016-12-31,21,Travel_Frequently,Research & Development,9,3,Medical,1,Female,4,Manufacturing Director,Single,178750,1.0,Y,12,8,0,3.0,5,3,1,2,2016-12-31,2,3,2016-12-31,11.0,Yes,2016-02-23,Resignation,Others
100,100,4510,100,101,4.0,4.0,3.0,2016-12-31,36,Non-Travel,Human Resources,28,3,Human Resources,1,Male,2,Laboratory Technician,Single,24320,4.0,Y,22,8,0,7.0,4,1,0,0,2016-12-31,1,4,2016-12-31,,,,,
101,101,4511,101,102,1.0,4.0,3.0,2016-12-31,36,Travel_Frequently,Research & Development,6,3,Life Sciences,1,Female,2,Research Scientist,Married,47710,4.0,Y,13,8,1,16.0,2,13,1,12,2016-12-31,3,3,2016-12-31,,,,,
102,102,4512,102,103,4.0,3.0,3.0,2016-12-31,57,Travel_Rarely,Research & Development,21,4,Life Sciences,1,Male,5,Research Scientist,Married,191610,2.0,Y,18,8,0,15.0,2,3,1,2,2016-12-31,1,3,2016-12-31,,,,,
103,103,4513,103,104,4.0,3.0,3.0,2016-12-31,40,Travel_Rarely,Research & Development,8,3,Other,1,Male,2,Sales Executive,Married,50870,3.0,Y,14,8,1,10.0,3,7,1,7,2016-12-31,3,3,2016-12-31,,,,,
104,104,4514,104,105,1.0,4.0,2.0,2016-12-31,21,Non-Travel,Research & Development,1,5,Life Sciences,1,Female,2,Manager,Single,28630,1.0,Y,14,8,0,3.0,2,3,2,2,2016-12-31,1,3,2016-12-31,,,,,
105,105,4515,105,106,4.0,3.0,3.0,2016-12-31,33,Travel_Rarely,Human Resources,28,2,Human Resources,1,Female,5,Manager,Single,55610,1.0,Y,21,8,1,1.0,3,1,0,0,2016-12-31,1,4,2016-12-31,12.0,Yes,2016-04-07,Resignation,Salary
