,level_0,index,unnamed: 0,employeeid,environmentsatisfaction,jobsatisfaction,worklifebalance,datesurvey,age,businesstravel,department,distancefromhome,education,educationfield,employeecount,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,over18,percentsalaryhike,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,infodate,jobinvolvement,performancerating,surveydate,unnamed: 0.1,attrition,retirementdate,retirementtype,resignationreason
14,14,14,14,15,4.0,4.0,2.0,2015-12-31,28,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,1,Manufacturing Director,Married,25920,1.0,Y,14,8,0,5.0,2,5,0,4,2015-12-31,3,3,2015-12-31,,,,,
15,15,15,15,16,3.0,4.0,4.0,2015-12-31,37,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,2,Healthcare Representative,Married,53460,4.0,Y,11,8,0,7.0,2,5,0,1,2015-12-31,3,3,2015-12-31,,,,,
16,16,16,16,17,4.0,3.0,4.0,2015-12-31,21,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Male,1,Laboratory Technician,Single,42130,1.0,Y,12,8,3,3.0,3,3,1,0,2015-12-31,2,3,2015-12-31,,,,,
17,17,17,17,18,1.0,4.0,3.0,2015-12-31,37,Non-Travel,Research & Development,1,3,Medical,1,Male,2,Sales Executive,Divorced,41270,2.0,Y,13,8,1,15.0,2,5,0,2,2015-12-31,3,3,2015-12-31,,,,,
18,18,18,18,19,2.0,2.0,2.0,2015-12-31,35,Travel_Rarely,Sales,7,4,Life Sciences,1,Male,1,Sales Representative,Divorced,24380,7.0,Y,16,8,0,10.0,5,7,6,2,2015-12-31,2,3,2015-12-31,,,,,
19,19,19,19,20,1.0,1.0,3.0,2015-12-31,38,Travel_Rarely,Research & Development,8,3,Life Sciences,1,Female,1,Manager,Divorced,68700,1.0,Y,11,8,1,8.0,5,8,7,7,2015-12-31,3,3,2015-12-31,,,,,
20,20,20,20,21,3.0,2.0,1.0,2015-12-31,26,Travel_Frequently,Research & Development,1,4,Other,1,Male,2,Laboratory Technician,Divorced,104470,1.0,Y,18,8,0,6.0,3,6,1,4,2015-12-31,3,3,2015-12-31,,,,,
21,21,21,21,22,1.0,2.0,2.0,2015-12-31,50,Travel_Rarely,Sales,8,4,Life Sciences,1,Male,1,Research Scientist,Divorced,96670,3.0,Y,23,8,0,28.0,2,10,1,6,2015-12-31,2,4,2015-12-31,,,,,
22,22,22,22,23,3.0,3.0,2.0,2015-12-31,53,Travel_Rarely,Research & Development,11,4,Life Sciences,1,Female,2,Research Scientist,Married,21480,3.0,Y,11,8,0,21.0,2,5,1,3,2015-12-31,3,3,2015-12-31,,,,,
23,23,23,23,24,2.0,3.0,3.0,2015-12-31,42,Travel_Rarely,Research & Development,4,4,Life Sciences,1,Male,1,Manufacturing Director,Married,89260,1.0,Y,14,8,0,10.0,4,20,11,6,2015-12-31,1,3,2015-12-31,,,,,
24,24,24,24,25,2.0,4.0,2.0,2015-12-31,29,Travel_Frequently,Research & Development,16,4,Medical,1,Male,1,Laboratory Technician,Single,65130,1.0,Y,11,8,1,10.0,2,10,0,9,2015-12-31,3,3,2015-12-31,,,,,
25,25,25,25,26,2.0,4.0,3.0,2015-12-31,55,Travel_Rarely,Research & Development,1,4,Other,1,Female,1,Research Scientist,Married,67990,3.0,Y,11,8,0,12.0,2,10,0,8,2015-12-31,3,3,2015-12-31,,,,,
26,26,26,26,27,1.0,1.0,3.0,2015-12-31,26,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Female,1,Manager,Married,162910,1.0,Y,22,8,0,5.0,3,5,3,3,2015-12-31,3,4,2015-12-31,,,,,
27,27,27,27,28,4.0,4.0,3.0,2015-12-31,37,Travel_Rarely,Sales,5,1,Marketing,1,Male,1,Research Scientist,Single,27050,1.0,Y,11,8,0,17.0,2,17,5,7,2015-12-31,3,3,2015-12-31,,,,,
28,28,28,28,29,4.0,3.0,1.0,2015-12-31,44,Travel_Frequently,Research & Development,1,2,Medical,1,Male,2,Research Scientist,Divorced,103330,3.0,Y,14,8,1,19.0,2,1,0,0,2015-12-31,2,3,2015-12-31,,,,,
29,29,29,29,30,4.0,4.0,3.0,2015-12-31,38,Travel_Rarely,Sales,2,3,Marketing,1,Female,1,Manager,Divorced,44480,9.0,Y,12,8,0,10.0,3,2,1,2,2015-12-31,2,3,2015-12-31,,,,,
30,30,30,30,31,1.0,2.0,3.0,2015-12-31,26,Travel_Rarely,Research & Development,4,3,Medical,1,Male,3,Research Scientist,Divorced,68540,2.0,Y,11,8,0,5.0,5,3,0,2,2015-12-31,2,3,2015-12-31,,,,,
31,31,31,31,32,4.0,4.0,3.0,2015-12-31,28,Travel_Rarely,Research & Development,7,3,Other,1,Male,1,Human Resources,Single,96370,1.0,Y,13,8,0,5.0,6,5,0,2,2015-12-31,2,3,2015-12-31,,,,,
32,32,32,32,33,3.0,1.0,3.0,2015-12-31,49,Travel_Frequently,Research & Development,1,1,Medical,1,Female,2,Research Scientist,Single,35910,9.0,Y,13,8,0,22.0,2,3,1,2,2015-12-31,3,3,2015-12-31,,,,,
33,33,33,33,34,3.0,2.0,3.0,2015-12-31,36,Travel_Rarely,Sales,5,3,Technical Degree,1,Male,3,Sales Executive,Single,54050,4.0,Y,14,8,0,10.0,2,8,7,7,2015-12-31,3,3,2015-12-31,,,,,
34,34,34,34,35,4.0,2.0,2.0,2015-12-31,31,Travel_Frequently,Research & Development,9,4,Medical,1,Male,1,Sales Executive,Divorced,46840,1.0,Y,16,8,1,2.0,4,2,2,2,2015-12-31,3,3,2015-12-31,,,,,
35,35,35,35,36,4.0,4.0,3.0,2015-12-31,26,Travel_Rarely,Research & Development,8,3,Medical,1,Male,2,Manager,Single,157870,1.0,Y,12,8,2,8.0,5,8,7,4,2015-12-31,3,3,2015-12-31,,,,,
36,36,36,36,37,2.0,4.0,2.0,2015-12-31,37,Travel_Frequently,Sales,9,1,Marketing,1,Male,1,Laboratory Technician,Married,15140,1.0,Y,14,8,0,4.0,3,4,1,2,2015-12-31,3,3,2015-12-31,,,,,
37,37,37,37,38,3.0,2.0,4.0,2015-12-31,42,Travel_Frequently,Sales,2,2,Marketing,1,Male,3,Research Director,Married,29560,5.0,Y,13,8,0,23.0,2,20,4,8,2015-12-31,3,3,2015-12-31,,,,,
38,38,38,38,39,3.0,3.0,3.0,2015-12-31,18,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,1,Sales Executive,Single,23350,1.0,Y,14,8,2,0.0,3,0,0,0,2015-12-31,2,3,2015-12-31,,,,,
39,39,39,39,40,3.0,2.0,2.0,2015-12-31,35,Travel_Rarely,Sales,20,2,Life Sciences,1,Male,1,Laboratory Technician,Married,51540,0.0,Y,19,8,0,12.0,2,11,6,9,2015-12-31,2,3,2015-12-31,,,,,
40,40,40,40,41,3.0,4.0,3.0,2015-12-31,36,Travel_Frequently,Research & Development,8,3,Other,1,Female,3,Sales Executive,Married,69620,4.0,Y,12,8,2,4.0,2,1,0,0,2015-12-31,2,3,2015-12-31,,,,,
41,41,41,41,42,4.0,2.0,3.0,2015-12-31,51,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,2,Laboratory Technician,Divorced,56750,5.0,Y,13,8,0,13.0,2,4,1,2,2015-12-31,2,3,2015-12-31,,,,,
42,42,42,42,43,4.0,2.0,3.0,2015-12-31,41,Travel_Rarely,Research & Development,29,1,Life Sciences,1,Male,1,Laboratory Technician,Single,23790,1.0,Y,12,8,0,22.0,6,22,0,4,2015-12-31,3,3,2015-12-31,,,,,
43,43,43,43,44,4.0,3.0,3.0,2015-12-31,18,Travel_Rarely,Sales,7,3,Life Sciences,1,Male,1,Research Scientist,Single,38120,1.0,Y,15,8,0,0.0,3,0,0,0,2015-12-31,3,3,2015-12-31,,,,,
44,44,44,44,45,2.0,1.0,3.0,2015-12-31,28,Travel_Rarely,Research & Development,9,3,Medical,1,Male,1,Sales Representative,Single,46480,0.0,Y,23,8,2,9.0,2,8,0,7,2015-12-31,2,4,2015-12-31,,,,,
45,45,45,45,46,2.0,4.0,2.0,2015-12-31,31,Travel_Rarely,Research & Development,8,1,Technical Degree,1,Male,1,Manufacturing Director,Married,29360,4.0,Y,12,8,1,10.0,2,8,7,7,2015-12-31,3,3,2015-12-31,,,,,
46,46,46,46,47,3.0,4.0,2.0,2015-12-31,39,Travel_Rarely,Sales,5,4,Marketing,1,Female,2,Human Resources,Divorced,21050,0.0,Y,20,8,0,19.0,3,18,3,7,2015-12-31,3,4,2015-12-31,,,,,
47,47,47,47,48,2.0,2.0,3.0,2015-12-31,36,Non-Travel,Research & Development,5,4,Life Sciences,1,Male,1,Sales Executive,Married,85780,7.0,Y,21,8,0,11.0,4,9,0,8,2015-12-31,3,4,2015-12-31,,,,,
48,48,48,48,49,4.0,3.0,2.0,2015-12-31,32,Travel_Rarely,Sales,2,3,Marketing,1,Male,2,Laboratory Technician,Married,27060,1.0,Y,21,8,1,13.0,4,13,4,8,2015-12-31,3,4,2015-12-31,,,,,
49,49,49,49,50,1.0,2.0,3.0,2015-12-31,38,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Female,3,Research Scientist,Married,63840,3.0,Y,19,8,2,19.0,4,10,0,1,2015-12-31,2,3,2015-12-31,,,,,
50,50,50,50,51,4.0,3.0,3.0,2015-12-31,58,Non-Travel,Research & Development,2,3,Life Sciences,1,Male,2,Manufacturing Director,Divorced,39680,2.0,Y,13,8,2,12.0,3,5,1,2,2015-12-31,2,3,2015-12-31,,,,,
51,51,51,51,52,3.0,4.0,3.0,2015-12-31,31,Travel_Rarely,Research & Development,20,1,Technical Degree,1,Female,3,Research Scientist,Married,99070,0.0,Y,13,8,1,6.0,3,5,0,3,2015-12-31,2,3,2015-12-31,,,,,
52,52,52,52,53,1.0,1.0,3.0,2015-12-31,31,Travel_Rarely,Sales,7,4,Marketing,1,Male,2,Sales Executive,Married,132250,3.0,Y,21,8,1,9.0,2,2,1,0,2015-12-31,3,4,2015-12-31,,,,,
53,53,53,53,54,1.0,1.0,3.0,2015-12-31,45,Travel_Frequently,Research & Development,3,1,Medical,1,Female,1,Sales Executive,Divorced,35400,1.0,Y,13,8,0,24.0,6,24,9,11,2015-12-31,3,3,2015-12-31,,,,,
54,54,54,54,55,3.0,4.0,1.0,2015-12-31,31,Travel_Rarely,Sales,16,4,Marketing,1,Female,2,Research Scientist,Divorced,28040,0.0,Y,19,8,2,3.0,0,2,2,2,2015-12-31,3,3,2015-12-31,,,,,
55,55,55,55,56,4.0,2.0,3.0,2015-12-31,33,Travel_Frequently,Research & Development,9,3,Life Sciences,1,Male,4,Research Director,Married,193920,6.0,Y,12,8,1,12.0,3,10,8,8,2015-12-31,3,3,2015-12-31,,,,,
56,56,56,56,57,3.0,1.0,3.0,2015-12-31,39,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,1,Sales Executive,Married,196650,1.0,Y,22,8,1,21.0,6,21,11,10,2015-12-31,3,4,2015-12-31,,,,,
57,57,57,57,58,3.0,4.0,3.0,2015-12-31,43,Travel_Frequently,Research & Development,7,4,Medical,1,Male,4,Research Scientist,Single,24390,0.0,Y,15,8,0,9.0,2,8,1,7,2015-12-31,3,3,2015-12-31,,,,,
58,58,58,58,59,3.0,3.0,3.0,2015-12-31,49,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Manufacturing Director,Single,73140,7.0,Y,22,8,0,25.0,2,7,0,7,2015-12-31,3,4,2015-12-31,,,,,
59,59,59,59,60,3.0,2.0,2.0,2015-12-31,52,Travel_Rarely,Research & Development,7,1,Life Sciences,1,Female,2,Research Scientist,Married,47740,2.0,Y,18,8,1,11.0,2,8,7,7,2015-12-31,3,3,2015-12-31,,,,,
60,60,60,60,61,3.0,2.0,2.0,2015-12-31,27,Travel_Rarely,Research & Development,15,4,Medical,1,Male,3,Research Scientist,Single,39020,1.0,Y,22,8,0,4.0,2,4,1,2,2015-12-31,3,4,2015-12-31,,,,,
61,61,61,61,62,3.0,2.0,3.0,2015-12-31,32,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Male,3,Research Scientist,Married,26620,1.0,Y,11,8,1,13.0,6,13,11,9,2015-12-31,4,3,2015-12-31,,,,,
62,62,62,62,63,4.0,3.0,3.0,2015-12-31,27,Travel_Rarely,Research & Development,13,2,Medical,1,Female,4,Research Director,Single,28560,1.0,Y,12,8,2,5.0,5,5,0,4,2015-12-31,4,3,2015-12-31,,,,,
63,63,63,63,64,4.0,4.0,3.0,2015-12-31,31,Travel_Rarely,Sales,24,3,Life Sciences,1,Male,2,Healthcare Representative,Divorced,10810,4.0,Y,11,8,3,13.0,4,7,1,7,2015-12-31,4,3,2015-12-31,,,,,
64,64,64,64,65,1.0,4.0,2.0,2015-12-31,32,Travel_Rarely,Research & Development,7,3,Technical Degree,1,Male,2,Healthcare Representative,Single,24720,7.0,Y,13,8,0,10.0,2,7,0,7,2015-12-31,3,3,2015-12-31,,,,,
65,65,65,65,66,1.0,4.0,2.0,2015-12-31,28,Travel_Rarely,Research & Development,9,4,Medical,1,Male,1,Sales Executive,Married,56730,5.0,Y,14,8,1,5.0,4,3,2,2,2015-12-31,2,3,2015-12-31,,,,,
66,66,66,66,67,4.0,4.0,3.0,2015-12-31,30,Travel_Rarely,Research & Development,13,3,Life Sciences,1,Female,4,Research Director,Married,41970,1.0,Y,13,8,0,11.0,3,10,1,9,2015-12-31,3,3,2015-12-31,,,,,
67,67,67,67,68,3.0,3.0,3.0,2015-12-31,31,Travel_Frequently,Research & Development,2,1,Life Sciences,1,Female,1,Manager,Married,97130,1.0,Y,17,8,0,10.0,5,10,8,9,2015-12-31,2,3,2015-12-31,,,,,
68,68,68,68,69,3.0,4.0,3.0,2015-12-31,39,Travel_Frequently,Research & Development,19,4,Medical,1,Female,1,Research Scientist,Married,20620,1.0,Y,13,8,0,21.0,4,21,13,3,2015-12-31,3,3,2015-12-31,,,,,
69,69,69,69,70,4.0,3.0,2.0,2015-12-31,39,Travel_Rarely,Research & Development,1,1,Medical,1,Female,1,Laboratory Technician,Married,42840,4.0,Y,17,8,1,12.0,0,1,0,0,2015-12-31,3,3,2015-12-31,,,,,
70,70,70,70,71,2.0,4.0,2.0,2015-12-31,33,Travel_Frequently,Sales,4,2,Life Sciences,1,Male,4,Research Scientist,Single,47880,3.0,Y,11,8,1,9.0,0,7,0,1,2015-12-31,3,3,2015-12-31,,,,,
71,71,71,71,72,4.0,3.0,3.0,2015-12-31,47,Travel_Rarely,Research & Development,4,3,Life Sciences,1,Female,2,Healthcare Representative,Married,59060,4.0,Y,23,8,0,21.0,4,3,1,1,2015-12-31,4,4,2015-12-31,,,,,
72,72,72,72,73,3.0,3.0,4.0,2015-12-31,43,Travel_Frequently,Research & Development,14,3,Medical,1,Female,5,Research Director,Divorced,38860,1.0,Y,17,8,2,9.0,2,9,0,0,2015-12-31,3,3,2015-12-31,,,,,
73,73,73,73,74,3.0,2.0,3.0,2015-12-31,27,Non-Travel,Research & Development,2,3,Life Sciences,1,Male,1,Research Director,Married,168230,0.0,Y,17,8,0,6.0,3,5,1,4,2015-12-31,3,3,2015-12-31,,,,,
74,74,74,74,75,4.0,3.0,2.0,2015-12-31,54,Travel_Frequently,Research & Development,1,4,Life Sciences,1,Male,2,Research Scientist,Single,29330,3.0,Y,12,8,2,20.0,2,4,0,3,2015-12-31,3,3,2015-12-31,,,,,
75,75,75,75,76,3.0,1.0,2.0,2015-12-31,43,Travel_Rarely,Research & Development,7,2,Life Sciences,1,Female,2,Manager,Married,65000,8.0,Y,23,8,0,10.0,3,1,0,0,2015-12-31,3,4,2015-12-31,,,,,
76,76,76,76,77,4.0,4.0,3.0,2015-12-31,45,Travel_Rarely,Sales,3,1,Marketing,1,Female,1,Sales Executive,Married,171740,9.0,Y,14,8,1,12.0,6,10,9,8,2015-12-31,3,3,2015-12-31,,,,,
77,77,77,77,78,2.0,4.0,2.0,2015-12-31,40,Travel_Rarely,Research & Development,2,4,Other,1,Male,4,Research Scientist,Married,50330,2.0,Y,14,8,2,6.0,6,4,0,2,2015-12-31,3,3,2015-12-31,,,,,
78,78,78,78,79,2.0,1.0,2.0,2015-12-31,29,Travel_Rarely,Research & Development,29,3,Medical,1,Female,1,Research Scientist,Married,23070,1.0,Y,13,8,1,7.0,0,7,0,7,2015-12-31,3,3,2015-12-31,,,,,
79,79,79,79,80,2.0,4.0,3.0,2015-12-31,29,Travel_Rarely,Human Resources,8,3,Medical,1,Male,3,Sales Representative,Single,25870,0.0,Y,22,8,2,4.0,3,3,2,2,2015-12-31,3,4,2015-12-31,,,,,
80,80,80,80,81,4.0,3.0,3.0,2015-12-31,30,Travel_Rarely,Research & Development,10,3,Life Sciences,1,Male,2,Research Scientist,Divorced,55070,1.0,Y,12,8,2,10.0,2,10,1,2,2015-12-31,2,3,2015-12-31,,,,,
81,81,81,81,82,2.0,2.0,3.0,2015-12-31,27,Travel_Rarely,Research & Development,11,2,Medical,1,Male,1,Manager,Married,43930,1.0,Y,18,8,1,8.0,2,8,0,7,2015-12-31,2,3,2015-12-31,,,,,
82,82,82,82,83,4.0,4.0,2.0,2015-12-31,37,Travel_Rarely,Sales,1,4,Life Sciences,1,Male,2,Healthcare Representative,Divorced,133480,7.0,Y,14,8,0,8.0,4,6,0,4,2015-12-31,3,3,2015-12-31,,,,,
83,83,83,83,84,3.0,4.0,3.0,2015-12-31,38,Travel_Rarely,Research & Development,28,4,Medical,1,Male,1,Laboratory Technician,Divorced,65830,0.0,Y,12,8,0,12.0,1,11,2,9,2015-12-31,3,3,2015-12-31,,,,,
84,84,84,84,85,3.0,4.0,3.0,2015-12-31,31,Travel_Rarely,Research & Development,6,3,Medical,1,Female,3,Manager,Single,81030,1.0,Y,15,8,1,11.0,5,11,4,10,2015-12-31,3,3,2015-12-31,,,,,
85,85,85,85,86,4.0,2.0,3.0,2015-12-31,29,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Male,3,Sales Executive,Divorced,39780,1.0,Y,11,8,0,7.0,0,7,1,7,2015-12-31,3,3,2015-12-31,,,,,
86,86,86,86,87,3.0,2.0,3.0,2015-12-31,35,Travel_Rarely,Sales,16,2,Technical Degree,1,Male,3,Manager,Single,25440,0.0,Y,13,8,1,17.0,3,16,0,13,2015-12-31,4,3,2015-12-31,,,,,
87,87,87,87,88,3.0,4.0,2.0,2015-12-31,23,Travel_Rarely,Research & Development,20,4,Life Sciences,1,Male,1,Manufacturing Director,Divorced,53990,1.0,Y,23,8,0,4.0,2,4,0,2,2015-12-31,2,4,2015-12-31,,,,,
88,88,88,88,89,4.0,2.0,3.0,2015-12-31,41,Travel_Rarely,Research & Development,9,2,Life Sciences,1,Female,1,Laboratory Technician,Single,54870,6.0,Y,19,8,2,8.0,0,5,1,2,2015-12-31,3,3,2015-12-31,,,,,
89,89,89,89,90,2.0,3.0,3.0,2015-12-31,47,Travel_Frequently,Sales,1,3,Medical,1,Female,2,Laboratory Technician,Single,68340,3.0,Y,16,8,1,5.0,2,0,0,0,2015-12-31,4,3,2015-12-31,,,,,
90,90,90,90,91,1.0,4.0,3.0,2015-12-31,42,Travel_Rarely,Research & Development,3,4,Life Sciences,1,Male,1,Manager,Single,10910,2.0,Y,22,8,0,16.0,0,1,0,0,2015-12-31,1,4,2015-12-31,,,,,
91,91,91,91,92,4.0,3.0,2.0,2015-12-31,29,Non-Travel,Sales,22,4,Marketing,1,Male,2,Human Resources,Married,57360,1.0,Y,22,8,0,4.0,1,4,0,2,2015-12-31,2,4,2015-12-31,,,,,
92,92,92,92,93,3.0,3.0,3.0,2015-12-31,42,Travel_Rarely,Sales,7,4,Medical,1,Male,3,Research Scientist,Divorced,22260,0.0,Y,12,8,1,4.0,3,3,1,0,2015-12-31,2,3,2015-12-31,,,,,
93,93,93,93,94,3.0,2.0,3.0,2015-12-31,32,Travel_Rarely,Research & Development,2,3,Medical,1,Male,2,Research Scientist,Married,57470,1.0,Y,13,8,0,8.0,0,8,0,7,2015-12-31,3,3,2015-12-31,,,,,
94,94,94,94,95,1.0,3.0,1.0,2015-12-31,48,Travel_Rarely,Sales,13,4,Medical,1,Male,4,Sales Executive,Married,98540,3.0,Y,16,8,1,15.0,2,0,0,0,2015-12-31,2,3,2015-12-31,,,,,
95,95,95,95,96,3.0,1.0,3.0,2015-12-31,37,Travel_Rarely,Research & Development,8,5,Technical Degree,1,Male,2,Manufacturing Director,Divorced,54670,4.0,Y,12,8,0,13.0,2,7,6,7,2015-12-31,3,3,2015-12-31,,,,,
96,96,96,96,97,4.0,3.0,4.0,2015-12-31,30,Non-Travel,Sales,25,4,Other,1,Male,1,Healthcare Representative,Married,53800,7.0,Y,21,8,1,4.0,0,2,2,2,2015-12-31,3,4,2015-12-31,,,,,
97,97,97,97,98,3.0,3.0,3.0,2015-12-31,26,Travel_Rarely,Sales,28,3,Medical,1,Female,5,Laboratory Technician,Married,51510,1.0,Y,15,8,3,8.0,3,8,7,7,2015-12-31,3,3,2015-12-31,,,,,
98,98,98,98,99,1.0,4.0,3.0,2015-12-31,42,Travel_Rarely,Sales,2,2,Medical,1,Female,1,Laboratory Technician,Single,21330,3.0,Y,13,8,2,14.0,2,1,0,0,2015-12-31,3,3,2015-12-31,,,,,
99,99,99,99,100,1.0,2.0,3.0,2015-12-31,21,Travel_Frequently,Research & Development,9,3,Medical,1,Female,4,Manufacturing Director,Single,178750,1.0,Y,12,8,0,3.0,5,3,1,2,2015-12-31,2,3,2015-12-31,,,,,
100,100,100,100,101,4.0,4.0,3.0,2015-12-31,36,Non-Travel,Human Resources,28,3,Human Resources,1,Male,2,Laboratory Technician,Single,24320,4.0,Y,22,8,0,7.0,4,1,0,0,2015-12-31,1,4,2015-12-31,,,,,
101,101,101,101,102,1.0,4.0,3.0,2015-12-31,36,Travel_Frequently,Research & Development,6,3,Life Sciences,1,Female,2,Research Scientist,Married,47710,4.0,Y,13,8,1,16.0,2,13,1,12,2015-12-31,3,3,2015-12-31,,,,,
102,102,102,102,103,4.0,3.0,3.0,2015-12-31,57,Travel_Rarely,Research & Development,21,4,Life Sciences,1,Male,5,Research Scientist,Married,191610,2.0,Y,18,8,0,15.0,2,3,1,2,2015-12-31,1,3,2015-12-31,,,,,
103,103,103,103,104,4.0,3.0,3.0,2015-12-31,40,Travel_Rarely,Research & Development,8,3,Other,1,Male,2,Sales Executive,Married,50870,3.0,Y,14,8,1,10.0,3,7,1,7,2015-12-31,3,3,2015-12-31,,,,,
104,104,104,104,105,1.0,4.0,2.0,2015-12-31,21,Non-Travel,Research & Development,1,5,Life Sciences,1,Female,2,Manager,Single,28630,1.0,Y,14,8,0,3.0,2,3,2,2,2015-12-31,1,3,2015-12-31,,,,,
105,105,105,105,106,4.0,3.0,3.0,2015-12-31,33,Travel_Rarely,Human Resources,28,2,Human Resources,1,Female,5,Manager,Single,55610,1.0,Y,21,8,1,1.0,3,1,0,0,2015-12-31,1,4,2015-12-31,,,,,
106,106,106,106,107,3.0,1.0,3.0,2015-12-31,37,Travel_Rarely,Research & Development,5,3,Life Sciences,1,Male,4,Research Scientist,Married,21440,6.0,Y,19,8,0,17.0,3,5,0,3,2015-12-31,4,3,2015-12-31,,,,,
107,107,107,107,108,3.0,3.0,4.0,2015-12-31,46,Non-Travel,Sales,2,4,Marketing,1,Female,2,Laboratory Technician,Married,30650,2.0,Y,11,8,0,7.0,3,1,0,0,2015-12-31,3,3,2015-12-31,,,,,
108,108,108,108,109,1.0,2.0,3.0,2015-12-31,41,Travel_Frequently,Research & Development,16,1,Medical,1,Female,1,Research Scientist,Single,28100,1.0,Y,11,8,0,8.0,3,8,7,7,2015-12-31,4,3,2015-12-31,,,,,
